ts_code,trade_date,open,high,low,close,vol,amount,pct_chg,tr,atr,entry_high,exit_low,position,trade,trade_reason,stop_line,market_return,strategy_return,strategy_nav,buy_hold_nav,drawdown
600276.SH,2025-10-09,71.56,71.66,69.11,71.15,592793.4,4173571.948,-0.559,2.549999999999997,2.429431745285317,74.04,67.76,1.0,0.0,,62.69005894298722,-0.005590496156533731,-0.005590496156533842,1.074337579287787,1.3358993616222314,-0.01821443355871355
600276.SH,2025-10-10,70.38,70.88,67.85,68.2,706100.7,4868800.903,-4.1462,3.3000000000000114,2.472960158021052,74.04,67.76,1.0,0.0,,62.69005894298722,-0.04146170063246668,-0.04146170063246668,1.0297937161971478,1.280510702215547,-0.05892093279977895
600276.SH,2025-10-13,66.0,68.03,65.7,66.98,532287.09,3555005.478,-1.7889,2.5,2.4743121501199994,74.04,67.76,1.0,0.0,,62.69005894298722,-0.017888563049853312,-0.017888563049853423,1.0113721863766123,1.2576042057829524,-0.07575548502828733
600276.SH,2025-10-14,67.61,67.66,63.7,64.27,702946.63,4593967.583,-4.046,3.9599999999999937,2.548596542613999,74.04,65.7,0.0,-1.0,退出通道卖出,,-0.04045983875783832,0.009005792773962363,1.0204803947044694,1.2067217423957948,-0.06743193045398066
600276.SH,2025-10-15,64.2,66.42,63.68,66.4,511231.63,3335928.393,3.3141,2.740000000000002,2.5581667154832988,74.04,63.7,0.0,0.0,,,0.033141434572895756,0.0,1.0204803947044694,1.2467142320690958,-0.06743193045398066
600276.SH,2025-10-16,66.43,68.5,65.72,66.84,460377.57,3096812.048,0.6627,2.780000000000001,2.569258379709134,73.12,63.68,0.0,0.0,,,0.0066265060240964235,0.0,1.0204803947044694,1.2549755914382283,-0.06743193045398066
600276.SH,2025-10-17,66.85,67.4,65.0,65.1,349507.34,2298728.245,-2.6032,2.4000000000000057,2.5607954607236776,73.12,63.68,0.0,0.0,,,-0.026032315978456122,0.0,1.0204803947044694,1.2223056702966586,-0.06743193045398066
600276.SH,2025-10-20,65.99,66.51,64.83,65.13,326716.94,2146357.392,0.0461,1.6800000000000068,2.516755687687494,73.12,63.68,0.0,0.0,,,0.00046082949308767773,0.0,1.0204803947044694,1.2228689447990997,-0.06743193045398066
600276.SH,2025-10-21,65.5,66.58,65.14,66.0,369560.31,2436269.459,1.3358,1.4500000000000028,2.463417903303119,73.12,63.68,0.0,0.0,,,0.013357899585444644,0.0,1.0204803947044694,1.2392039053698847,-0.06743193045398066
600276.SH,2025-10-22,66.25,66.79,65.01,65.26,398048.08,2610971.756,-1.1212,1.7800000000000011,2.4292470081379633,73.12,63.68,0.0,0.0,,,-0.011212121212121118,0.0,1.0204803947044694,1.2253098009763437,-0.06743193045398066
600276.SH,2025-10-23,65.01,65.43,64.02,65.14,342785.26,2219041.425,-0.1839,1.4100000000000108,2.3782846577310655,73.12,63.68,0.0,0.0,,,-0.0018387986515476795,0.0,1.0204803947044694,1.2230567029665802,-0.06743193045398066
600276.SH,2025-10-24,65.26,66.36,65.01,65.5,372752.77,2441099.938,0.5527,1.3499999999999943,2.326870424844512,73.12,63.68,0.0,0.0,,,0.005526558182376462,0.0,1.0204803947044694,1.2298159969958706,-0.06743193045398066
600276.SH,2025-10-27,66.55,67.85,66.51,67.01,508924.92,3413538.793,2.3053,2.3499999999999943,2.3280269036022863,73.08,63.68,0.0,0.0,,,0.023053435114503973,0.0,1.0204803947044694,1.258167480285394,-0.06743193045398066
600276.SH,2025-10-28,65.22,65.46,63.5,63.62,1082089.99,6923383.033,-5.0589,3.510000000000005,2.3871255584221722,73.08,63.68,0.0,0.0,,,-0.050589464259065964,0.0,1.0204803947044694,1.1945174615095768,-0.06743193045398066
600276.SH,2025-10-29,63.6,64.48,62.71,64.02,562174.55,3577122.185,0.6287,1.7700000000000031,2.356269280501064,73.08,63.5,0.0,0.0,,,0.0062873310279785155,0.0,1.0204803947044694,1.2020277882087882,-0.06743193045398066
600276.SH,2025-10-30,64.02,64.02,62.87,62.88,608740.0,3856500.507,-1.7807,1.1499999999999986,2.2959558164760105,73.08,62.71,0.0,0.0,,,-0.017806935332708385,0.0,1.0204803947044694,1.1806233571160358,-0.06743193045398066
600276.SH,2025-10-31,63.36,65.49,63.2,64.15,837063.9,5386074.734,2.0197,2.6099999999999923,2.3116580256522097,73.08,62.71,0.0,0.0,,,0.02019720101781175,0.0,1.0204803947044694,1.2044686443860322,-0.06743193045398066
600276.SH,2025-11-03,64.96,64.99,62.82,63.4,460305.61,2924454.178,-1.1691,2.1699999999999946,2.304575124369599,71.66,62.71,0.0,0.0,,,-0.011691348402182444,0.0,1.0204803947044694,1.1903867818250107,-0.06743193045398066
600276.SH,2025-11-04,63.42,63.45,61.55,61.92,515609.66,3215841.267,-2.3344,1.9000000000000057,2.284346368151119,71.66,62.71,0.0,0.0,,,-0.023343848580441584,0.0,1.0204803947044694,1.1625985730379285,-0.06743193045398066
600276.SH,2025-11-05,61.3,62.49,61.22,61.96,334380.78,2074291.419,0.0646,1.2700000000000031,2.233629049743563,71.66,61.55,0.0,0.0,,,0.0006459948320414188,0.0,1.0204803947044694,1.1633496057078496,-0.06743193045398066
600276.SH,2025-11-06,61.95,62.5,61.47,62.42,252523.95,1567372.106,0.7424,1.0300000000000011,2.173447597256385,71.66,61.22,0.0,0.0,,,0.00742414460942542,0.0,1.0204803947044694,1.1719864814119427,-0.06743193045398066
600276.SH,2025-11-07,62.0,62.49,61.5,61.58,270654.28,1670988.958,-1.3457,0.990000000000002,2.114275217393566,70.88,61.22,0.0,0.0,,,-0.013457225248317939,0.0,1.0204803947044694,1.1562147953435986,-0.06743193045398066
600276.SH,2025-11-10,61.57,61.93,60.96,61.83,396248.3,2431973.885,0.406,0.9699999999999989,2.0570614565238876,68.5,61.22,0.0,0.0,,,0.004059759662228046,0.0,1.0204803947044694,1.1609087495306059,-0.06743193045398066
600276.SH,2025-11-11,61.95,62.2,61.0,61.06,275159.98,1687561.58,-1.2454,1.2000000000000028,2.014208383697693,68.5,60.96,0.0,0.0,,,-0.012453501536470957,0.0,1.0204803947044694,1.1464513706346238,-0.06743193045398066
600276.SH,2025-11-12,61.09,62.86,61.09,62.1,514267.76,3203516.791,1.7032,1.7999999999999972,2.003497964512808,68.5,60.96,0.0,0.0,,,0.017032427120864613,0.0,1.0204803947044694,1.1659782200525732,-0.06743193045398066
600276.SH,2025-11-13,62.69,63.79,62.23,63.56,508318.37,3211808.939,2.351,1.6899999999999977,1.9878230662871677,68.5,60.96,0.0,0.0,,,0.02351046698872783,0.0,1.0204803947044694,1.1933909125046949,-0.06743193045398066
600276.SH,2025-11-14,63.45,63.9,62.76,62.9,319504.14,2021555.066,-1.0384,1.1400000000000006,1.9454319129728093,67.85,60.96,0.0,0.0,,,-0.010383889238514854,0.0,1.0204803947044694,1.180998873450996,-0.06743193045398066
600276.SH,2025-11-17,62.89,63.05,61.41,61.8,315384.52,1952561.578,-1.7488,1.6400000000000006,1.9301603173241688,67.85,60.96,0.0,0.0,,,-0.01748807631160576,0.0,1.0204803947044694,1.1603454750281645,-0.06743193045398066
600276.SH,2025-11-18,61.61,62.85,61.52,61.78,219100.59,1359324.791,-0.0324,1.3299999999999983,1.9001523014579602,67.85,60.96,0.0,0.0,,,-0.0003236245954691963,0.0,1.0204803947044694,1.159969958693204,-0.06743193045398066
600276.SH,2025-11-19,61.5,61.78,61.02,61.11,211162.42,1295307.075,-1.0845,0.759999999999998,1.843144686385062,67.85,60.96,0.0,0.0,,,-0.01084493363548078,0.0,1.0204803947044694,1.1473901614720248,-0.06743193045398066
600276.SH,2025-11-20,61.23,61.65,60.54,60.63,253480.06,1544020.77,-0.7855,1.1099999999999994,1.8064874520658087,67.85,60.96,0.0,0.0,,,-0.007854688267059373,0.0,1.0204803947044694,1.138377769432971,-0.06743193045398066
600276.SH,2025-11-21,60.33,61.1,59.31,59.5,447335.34,2679336.097,-1.8638,1.7899999999999991,1.8056630794625181,67.85,60.54,0.0,0.0,,,-0.018637638132937506,0.0,1.0204803947044694,1.1171610965076988,-0.06743193045398066
600276.SH,2025-11-24,60.04,61.1,59.96,60.66,343973.24,2083464.658,1.9496,1.6000000000000014,1.7953799254893923,67.85,59.31,0.0,0.0,,,0.019495798319327573,0.0,1.0204803947044694,1.1389410439354117,-0.06743193045398066
600276.SH,2025-11-25,61.1,61.61,60.53,60.88,265045.13,1620797.704,0.3627,1.0799999999999983,1.7596109292149225,65.49,59.31,0.0,0.0,,,0.0036267721727663016,0.0,1.0204803947044694,1.143071723619978,-0.06743193045398066
600276.SH,2025-11-26,61.5,62.8,61.03,62.36,439861.95,2739532.775,2.431,1.9199999999999946,1.767630382754176,65.49,59.31,0.0,0.0,,,0.02431011826544016,0.0,1.0204803947044694,1.1708599324070603,-0.06743193045398066
600276.SH,2025-11-27,62.6,62.96,61.94,62.09,257307.63,1604386.052,-0.433,1.0200000000000031,1.7302488636164672,65.49,59.31,0.0,0.0,,,-0.004329698524695225,0.0,1.0204803947044694,1.1657904618850927,-0.06743193045398066
600276.SH,2025-11-28,62.36,62.36,61.61,62.08,202776.19,1257510.631,-0.0161,0.75,1.6812364204356438,65.49,59.31,0.0,0.0,,,-0.00016105653084241833,0.0,1.0204803947044694,1.1656027037176124,-0.06743193045398066
600276.SH,2025-12-01,62.08,62.09,61.06,61.94,254830.95,1567868.103,-0.2255,1.0300000000000011,1.6486745994138616,64.99,59.31,0.0,0.0,,,-0.0022551546391752497,0.0,1.0204803947044694,1.1629740893728884,-0.06743193045398066
600276.SH,2025-12-02,61.9,61.9,61.0,61.12,182306.14,1115986.037,-1.3239,0.9399999999999977,1.6132408694431684,63.9,59.31,0.0,0.0,,,-0.013238618017436199,0.0,1.0204803947044694,1.147577919639505,-0.06743193045398066
600276.SH,2025-12-03,61.1,61.55,60.7,60.97,198529.76,1211357.997,-0.2454,0.8499999999999943,1.5750788259710096,63.9,59.31,0.0,0.0,,,-0.0024541884816753345,0.0,1.0204803947044694,1.144761547127301,-0.06743193045398066
600276.SH,2025-12-04,61.01,61.49,60.97,61.25,180407.66,1103403.553,0.4592,0.5200000000000031,1.522324884672459,63.9,59.31,0.0,0.0,,,0.004592422502870175,0.0,1.0204803947044694,1.1500187758167488,-0.06743193045398066
600276.SH,2025-12-05,61.19,61.79,60.7,61.62,231176.15,1418750.952,0.6041,1.0899999999999963,1.500708640438836,63.9,59.31,0.0,0.0,,,0.00604081632653064,0.0,1.0204803947044694,1.1569658280135193,-0.06743193045398066
600276.SH,2025-12-08,62.6,63.55,61.92,62.46,508617.59,3186857.202,1.3632,1.9299999999999997,1.522173208416894,63.9,59.96,0.0,0.0,,,0.01363193768257065,0.0,1.0204803947044694,1.1727375140818634,-0.06743193045398066
600276.SH,2025-12-09,62.32,64.15,62.3,63.08,493593.39,3131342.824,0.9926,1.8500000000000085,1.5385645479960497,63.9,60.53,0.0,0.0,,,0.009926352865833987,0.0,1.0204803947044694,1.184378520465641,-0.06743193045398066
