ts_code,trade_date,open,high,low,close,vol,amount,pct_chg,ma_short,ma_long,signal,trade,position,market_return,strategy_return,strategy_nav,buy_hold_nav,drawdown
600276.SH,2025-11-06,61.95,62.5,61.47,62.42,252523.95,1567372.106,0.7424,62.77,64.234,0,0.0,0.0,0.00742414460942542,0.0,1.1491707344642397,1.1719864814119427,-0.07390846521920524
600276.SH,2025-11-07,62.0,62.49,61.5,61.58,270654.28,1670988.958,-1.3457,62.25599999999999,63.99933333333333,0,0.0,0.0,-0.013457225248317939,-0.0,1.1491707344642397,1.1562147953435986,-0.07390846521920524
600276.SH,2025-11-10,61.57,61.93,60.96,61.83,396248.3,2431973.885,0.406,61.94199999999999,63.77933333333333,0,0.0,0.0,0.004059759662228046,0.0,1.1491707344642397,1.1609087495306059,-0.07390846521920524
600276.SH,2025-11-11,61.95,62.2,61.0,61.06,275159.98,1687561.58,-1.2454,61.77,63.45,0,0.0,0.0,-0.012453501536470957,-0.0,1.1491707344642397,1.1464513706346238,-0.07390846521920524
600276.SH,2025-11-12,61.09,62.86,61.09,62.1,514267.76,3203516.791,1.7032,61.798,63.239333333333335,0,0.0,0.0,0.017032427120864613,0.0,1.1491707344642397,1.1659782200525732,-0.07390846521920524
600276.SH,2025-11-13,62.69,63.79,62.23,63.56,508318.37,3211808.939,2.351,62.025999999999996,63.134,0,0.0,0.0,0.02351046698872783,0.0,1.1491707344642397,1.1933909125046949,-0.07390846521920524
600276.SH,2025-11-14,63.45,63.9,62.76,62.9,319504.14,2021555.066,-1.0384,62.29,62.96066666666666,0,0.0,0.0,-0.010383889238514854,-0.0,1.1491707344642397,1.180998873450996,-0.07390846521920524
600276.SH,2025-11-17,62.89,63.05,61.41,61.8,315384.52,1952561.578,-1.7488,62.284000000000006,62.61333333333334,0,0.0,0.0,-0.01748807631160576,-0.0,1.1491707344642397,1.1603454750281645,-0.07390846521920524
600276.SH,2025-11-18,61.61,62.85,61.52,61.78,219100.59,1359324.791,-0.0324,62.428,62.49066666666667,0,0.0,0.0,-0.0003236245954691963,-0.0,1.1491707344642397,1.159969958693204,-0.07390846521920524
600276.SH,2025-11-19,61.5,61.78,61.02,61.11,211162.42,1295307.075,-1.0845,62.23,62.29666666666667,0,0.0,0.0,-0.01084493363548078,-0.0,1.1491707344642397,1.1473901614720248,-0.07390846521920524
